Order,Experiment,Family,Method,Representation,Effective_Transformer_BPW,INT1_Fraction_pct,Residual_Coverage_pct,KV_Effective_Bits,Vocabulary_Effective_Bits,GR_EN_COMET,EN_GR_COMET,Global_COMET,Mean_Time_GR_EN_s,Mean_Time_EN_GR_s,Mean_Time_All_s,Mean_Generated_Tokens_GR_EN,Mean_Generated_Tokens_EN_GR,Tokens_Per_Second_GR_EN,Tokens_Per_Second_EN_GR,Static_VRAM_GiB,Peak_Active_VRAM_GiB,Peak_Reserved_VRAM_GiB,RAM_GiB,Max_Token_Hit_Rate_pct,Compression_Gain_vs_INT2_pct
-1,INT1 Reference,Reference,Pure INT1,100% two-centroid binary INT1,1.25000000,100.00000000,,,,0.24733333,0.32096667,0.28413333,1.92500000,7.01893333,4.47196667,,,,,1.49000000,1.80666667,,1.97333333,,42.85714286
0,INT2 Reference,Reference,Pure INT2,100% asymmetric affine INT2,2.18750000,0.00000000,,,,0.84480000,0.81763333,0.83123333,1.67780000,2.13310000,1.90545000,,,,,1.75000000,,,5.53666667,,0.00000000
1,Exp 1,Whole-matrix,16 decoder cross-attention INT1 matrices,Selective matrix INT1 + remaining INT2,2.16517857,2.38095000,,,,0.84503333,0.81303333,0.82903333,1.99316667,2.69550000,2.34433333,34.00333333,46.75666667,17.05995485,17.34619427,1.69880000,1.97300000,2.33200000,3.72000000,0.33333333,1.02040823
2,Exp 2,Whole-matrix,50 decoder cross-attention/fc2 INT1 matrices,Decoder-focused matrix INT1 + remaining INT2,2.07589286,11.90476000,,,,0.54943333,0.20573333,0.37760000,6.01980000,6.92426667,6.47203333,99.07000000,116.13000000,16.45735739,16.77145113,1.66980000,2.01200000,2.30270000,3.71333333,27.33333333,5.10204082
3,Exp 3,Whole-matrix,50 balanced encoder/decoder INT1 matrices,Balanced matrix INT1 + remaining INT2,2.07589286,11.90476000,,,,0.58086667,0.38036667,0.48060000,4.50386667,6.44613333,5.47500000,71.90333333,106.60000000,15.96480062,16.53704546,1.66980000,2.01200000,2.30270000,3.12666667,21.16666667,5.10204082
4,Exp 4,Whole-matrix,Activation-aware 32-matrix allocation,Empirical whole-matrix INT1 + remaining INT2,2.12193080,6.99404762,,,,0.70548763,0.78347222,0.74447993,2.57081538,2.54061850,2.55571694,45.94333333,46.42333333,17.87111346,18.27245347,1.68492889,2.01067543,2.31054688,,2.16666667,2.99744896
5,Exp 5,Whole-matrix,Layer-constrained 24-matrix allocation,Layer-constrained whole-matrix INT1 + remaining INT2,2.12890625,6.25000000,,,,0.80651705,0.80553409,0.80602557,2.26723035,2.86928489,2.56825762,35.83333333,45.97000000,15.80489314,16.02141359,1.68721771,2.01312876,2.31250000,,0.66666667,2.67857143
6,Exp 6,BlockMix,BlockMix-25 activation-aware,25% block INT1 + 75% block INT2,1.96093750,25.00000000,,,,0.67913333,0.51846667,0.59880000,2.64500000,3.16123333,2.90311667,52.44333333,64.82333333,19.82734720,20.50570980,1.63540000,1.96400000,2.15230000,3.38333333,6.50000000,10.35714286
7,Exp 7,BlockMix,BlockMix-15 protected,15% protected block INT1 + 85% INT2,2.05468777,14.99997000,,,,0.78323333,0.70626667,0.74473333,1.70436667,2.14230000,1.92333333,35.45666667,44.50000000,20.80342649,20.77206740,1.67110000,1.96150000,2.12300000,1.91000000,0.16666667,6.07141623
8,Exp 8,ResidualMix,ResidualMix-40,Universal binary base + 40% binary residual,1.75312460,,39.99997000,,,0.22383333,0.17213333,0.19796667,6.58766667,6.26770000,6.42768333,135.05000000,130.70000000,20.50043010,20.85294446,1.56920000,1.90520000,2.07620000,1.92000000,25.00000000,19.85716114
