Base_Model,Quantization,Direction,Metric,Paired_Sentences,Excess_Mean,CI95_Lower,CI95_Upper
Gemini 2.5 Flash 32B,Full Model,EN-GR,Hallucination_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,Omission_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,Expanded_Hallucination_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,Expanded_Omission_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,Hallucination_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,Omission_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,Expanded_Hallucination_Risk,300,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,Expanded_Omission_Risk,300,0.0,0.0,0.0
Llama 3 8B,2bit 10% Fast Spqr,EN-GR,Hallucination_Risk,300,0.10784171717748797,0.08640711268942074,0.1291870385596006
Llama 3 8B,2bit 10% Fast Spqr,EN-GR,Omission_Risk,300,0.12065330476637191,0.09884604032904737,0.1399478667740192
Llama 3 8B,2bit 10% Fast Spqr,EN-GR,Expanded_Hallucination_Risk,300,0.10565019707807667,0.092128792352689,0.11971662074028162
Llama 3 8B,2bit 10% Fast Spqr,EN-GR,Expanded_Omission_Risk,300,0.11953471605446649,0.10620762377763827,0.1329134338610866
Llama 3 8B,2bit 5% Spqr,EN-GR,Hallucination_Risk,300,0.10386725312603244,0.0865224317165454,0.11902287756149744
Llama 3 8B,2bit 5% Spqr,EN-GR,Omission_Risk,300,0.21427782868044942,0.19698004286429602,0.23145370544205182
Llama 3 8B,2bit 5% Spqr,EN-GR,Expanded_Hallucination_Risk,300,0.16578650544366255,0.15380793710635607,0.17998650402438993
Llama 3 8B,2bit 5% Spqr,EN-GR,Expanded_Omission_Risk,300,0.29308221225507397,0.279273307169674,0.30949200885196654
Llama 3 8B,4bit K-Means,EN-GR,Hallucination_Risk,300,0.016178138844061503,0.0070813908933290174,0.026210954770956776
Llama 3 8B,4bit K-Means,EN-GR,Omission_Risk,300,0.025148778742759163,0.017121632437866484,0.03273810471902604
Llama 3 8B,4bit K-Means,EN-GR,Expanded_Hallucination_Risk,300,0.030190800491675145,0.022161232694319622,0.038315972914251276
Llama 3 8B,4bit K-Means,EN-GR,Expanded_Omission_Risk,300,0.03774008989076131,0.031219928991630036,0.045759537003629974
Llama 3 8B,4bit Omniquant,EN-GR,Hallucination_Risk,300,0.004373464987551945,0.0014037411459726261,0.007429401624568965
Llama 3 8B,4bit Omniquant,EN-GR,Omission_Risk,300,-0.0006881105519165006,-0.0034480252230710932,0.002030700789559468
Llama 3 8B,4bit Omniquant,EN-GR,Expanded_Hallucination_Risk,300,0.010708438388757546,0.006449703440006629,0.015031164825427528
Llama 3 8B,4bit Omniquant,EN-GR,Expanded_Omission_Risk,300,0.008351151002087656,0.004457235353971146,0.01231968267909933
Llama 3 8B,4bit Optimized GPTQ,EN-GR,Hallucination_Risk,300,0.00679048700019825,0.001523952828545876,0.012095562587131552
Llama 3 8B,4bit Optimized GPTQ,EN-GR,Omission_Risk,300,0.0014821001544564913,-0.0024744225186124195,0.005778948606596351
Llama 3 8B,4bit Optimized GPTQ,EN-GR,Expanded_Hallucination_Risk,300,0.010059937537821619,0.005098351815066887,0.015832087980989222
Llama 3 8B,4bit Optimized GPTQ,EN-GR,Expanded_Omission_Risk,300,0.0029207078420215274,-0.0008365949523781692,0.006444795064056279
Llama 3 8B,4bit Spinquant,EN-GR,Hallucination_Risk,300,0.0007294014120886881,-0.0023616627800047145,0.003445473693323982
Llama 3 8B,4bit Spinquant,EN-GR,Omission_Risk,300,-0.0022512263203467945,-0.005083788036723425,0.0007462630119652829
Llama 3 8B,4bit Spinquant,EN-GR,Expanded_Hallucination_Risk,300,0.002369735990611123,-0.0006871433001223288,0.005179386916946766
Llama 3 8B,4bit Spinquant,EN-GR,Expanded_Omission_Risk,300,0.0018570286611640366,-0.0010663892404516363,0.005168091522357969
Llama 3 8B,4bit Static GPTQ,EN-GR,Hallucination_Risk,300,0.0026730794223991596,-0.0007803205634564268,0.005806709276654845
Llama 3 8B,4bit Static GPTQ,EN-GR,Omission_Risk,300,0.0009149554523737103,-0.0015655680678637555,0.0034949886346327826
Llama 3 8B,4bit Static GPTQ,EN-GR,Expanded_Hallucination_Risk,300,0.001665224108040363,-0.0021813995879322668,0.00539782439936561
Llama 3 8B,4bit Static GPTQ,EN-GR,Expanded_Omission_Risk,300,0.0014405892171482273,-0.0016535747703278444,0.004993599174204589
Llama 3 8B,4bit True GPTQ,EN-GR,Hallucination_Risk,300,0.009331006732091248,0.004992420885489465,0.013524251532106393
Llama 3 8B,4bit True GPTQ,EN-GR,Omission_Risk,300,-0.0003352534381942394,-0.003404228509156071,0.00252767365861267
Llama 3 8B,4bit True GPTQ,EN-GR,Expanded_Hallucination_Risk,300,0.0068270195492061096,0.002920098282585974,0.010864262104354303
Llama 3 8B,4bit True GPTQ,EN-GR,Expanded_Omission_Risk,300,0.0007131689351078131,-0.002387127737757874,0.003887822028206066
Llama 3 8B,Analytical Net Mngr 5GB,EN-GR,Hallucination_Risk,300,0.11349983479792054,0.09728196699179219,0.131773849228838
Llama 3 8B,Analytical Net Mngr 5GB,EN-GR,Omission_Risk,300,0.12182284582335628,0.0986954727559198,0.14527757497880622
Llama 3 8B,Analytical Net Mngr 5GB,EN-GR,Expanded_Hallucination_Risk,300,0.20307343588613877,0.1883327186016747,0.2179314890141813
Llama 3 8B,Analytical Net Mngr 5GB,EN-GR,Expanded_Omission_Risk,300,0.20026697686792594,0.18790471869645392,0.2140649247816846
Llama 3 8B,Empirical Net Mngr 5.5GB,EN-GR,Hallucination_Risk,300,0.0019968302565408907,-0.001900200393012136,0.006215914517824495
Llama 3 8B,Empirical Net Mngr 5.5GB,EN-GR,Omission_Risk,300,0.0072556074028153035,0.002438857323489863,0.012385021388433394
Llama 3 8B,Empirical Net Mngr 5.5GB,EN-GR,Expanded_Hallucination_Risk,300,0.006145723658040435,0.0025110294357264216,0.009994989972005769
Llama 3 8B,Empirical Net Mngr 5.5GB,EN-GR,Expanded_Omission_Risk,300,0.01019350279761604,0.005043274222489759,0.015368317085558397
Llama 3 8B,Fp4,EN-GR,Hallucination_Risk,300,0.0033261886151365765,-4.597299171666581e-05,0.00704212209005409
Llama 3 8B,Fp4,EN-GR,Omission_Risk,300,0.0009092013668523998,-0.0017913329435940615,0.00364245809777516
Llama 3 8B,Fp4,EN-GR,Expanded_Hallucination_Risk,300,0.00403620026564575,0.00024725175436231733,0.00859760745639205
Llama 3 8B,Fp4,EN-GR,Expanded_Omission_Risk,300,0.0026231646375061966,-0.0005802413330305014,0.005934856499405644
Llama 3 8B,Fp4 AWQ,EN-GR,Hallucination_Risk,300,0.008400623445692864,0.003971590477501656,0.012287825084308378
Llama 3 8B,Fp4 AWQ,EN-GR,Omission_Risk,300,0.0011228711291820992,-0.001982283149258704,0.00431470687954583
Llama 3 8B,Fp4 AWQ,EN-GR,Expanded_Hallucination_Risk,300,0.009217577812227746,0.0053089082909281785,0.013179433855187517
Llama 3 8B,Fp4 AWQ,EN-GR,Expanded_Omission_Risk,300,0.004592609801917019,0.0015386485232497214,0.00813337248895139
Llama 3 8B,Fp8,EN-GR,Hallucination_Risk,300,0.0043292987814216605,0.0010510791460601058,0.00824691608447849
Llama 3 8B,Fp8,EN-GR,Omission_Risk,300,-0.0003590511711110222,-0.0028032178927992002,0.0020306202541971476
Llama 3 8B,Fp8,EN-GR,Expanded_Hallucination_Risk,300,0.0039729702881564485,0.0009892831640384756,0.006981924897435268
Llama 3 8B,Fp8,EN-GR,Expanded_Omission_Risk,300,0.0010784407544992302,-0.00138157136923247,0.0037245014057508924
Llama 3 8B,Fp8 Per Tensor,EN-GR,Hallucination_Risk,300,0.006053149095672377,0.003217254433568892,0.009287638433731947
Llama 3 8B,Fp8 Per Tensor,EN-GR,Omission_Risk,300,0.0008171218877319079,-0.0014290692929765669,0.003303125770637135
Llama 3 8B,Fp8 Per Tensor,EN-GR,Expanded_Hallucination_Risk,300,0.004246872581006988,0.0012992292987720844,0.006918363760736757
Llama 3 8B,Fp8 Per Tensor,EN-GR,Expanded_Omission_Risk,300,0.001130301643475255,-0.001760886428067029,0.004330812857550915
Llama 3 8B,Full Model,EN-GR,Hallucination_Risk,300,0.0,0.0,0.0
Llama 3 8B,Full Model,EN-GR,Omission_Risk,300,0.0,0.0,0.0
Llama 3 8B,Full Model,EN-GR,Expanded_Hallucination_Risk,300,0.0,0.0,0.0
Llama 3 8B,Full Model,EN-GR,Expanded_Omission_Risk,300,0.0,0.0,0.0
Llama 3 8B,Int2 Batch16,EN-GR,Hallucination_Risk,300,0.15789892180923754,0.14386214189307311,0.1731265027067105
Llama 3 8B,Int2 Batch16,EN-GR,Omission_Risk,300,0.3935072469295863,0.36433996651277495,0.4240953753684736
Llama 3 8B,Int2 Batch16,EN-GR,Expanded_Hallucination_Risk,300,0.18473259445117074,0.1693806705639001,0.19962139286187783
Llama 3 8B,Int2 Batch16,EN-GR,Expanded_Omission_Risk,300,0.3710062017218032,0.35230383517239194,0.3892180755920102
Llama 3 8B,Int4,EN-GR,Hallucination_Risk,300,0.004262495052247154,-7.304582309663775e-05,0.008961153310419481
Llama 3 8B,Int4,EN-GR,Omission_Risk,300,0.0020775016948975066,-0.001121077426403354,0.005292627583917801
Llama 3 8B,Int4,EN-GR,Expanded_Hallucination_Risk,300,0.004580916891521641,0.0007123885096456715,0.008524756819529931
Llama 3 8B,Int4,EN-GR,Expanded_Omission_Risk,300,0.004388575296531972,0.0013229564339371535,0.00795976019738945
Llama 3 8B,Int4 AWQ,EN-GR,Hallucination_Risk,300,0.009032831291660368,0.004319489654579606,0.014128007762889415
Llama 3 8B,Int4 AWQ,EN-GR,Omission_Risk,300,0.0013865469113447596,-0.0009861880884860545,0.00403041332504053
Llama 3 8B,Int4 AWQ,EN-GR,Expanded_Hallucination_Risk,300,0.006917461326199222,0.0026040223427225644,0.011360165035256203
Llama 3 8B,Int4 AWQ,EN-GR,Expanded_Omission_Risk,300,0.0035284674242533395,0.00012477737413881307,0.007193120776351213
Llama 3 8B,Int8,EN-GR,Hallucination_Risk,300,0.0029514843579247956,3.062512609131374e-05,0.005996237213760736
Llama 3 8B,Int8,EN-GR,Omission_Risk,300,-0.0004113391987984556,-0.0023896785845640175,0.0016244903005086045
Llama 3 8B,Int8,EN-GR,Expanded_Hallucination_Risk,300,0.0028282566809133334,7.69944486978816e-05,0.005642759585365817
Llama 3 8B,Int8,EN-GR,Expanded_Omission_Risk,300,-9.415799508571984e-05,-0.0024707163501010553,0.002548207870800416
Llama 3 8B,Int8 A8W8,EN-GR,Hallucination_Risk,300,0.003928789703664395,0.0009615899076096399,0.006735678691694219
Llama 3 8B,Int8 A8W8,EN-GR,Omission_Risk,300,0.000664221841789481,-0.0018222468348784032,0.002973382843733467
Llama 3 8B,Int8 A8W8,EN-GR,Expanded_Hallucination_Risk,300,0.003860245591865495,0.0006300122043958489,0.007318976457990087
Llama 3 8B,Int8 A8W8,EN-GR,Expanded_Omission_Risk,300,0.0010928986147794699,-0.0017369371195243386,0.00404267303875692
Llama 3 8B,Int8 Bookends,EN-GR,Hallucination_Risk,300,0.005505741138311055,0.0018211028735369463,0.009464867268925474
Llama 3 8B,Int8 Bookends,EN-GR,Omission_Risk,300,0.001897495604867546,-0.0007003486346817237,0.005045930709909968
Llama 3 8B,Int8 Bookends,EN-GR,Expanded_Hallucination_Risk,300,0.003320486617802321,-0.00019779693919976646,0.006919626003480925
Llama 3 8B,Int8 Bookends,EN-GR,Expanded_Omission_Risk,300,0.002084675566807126,-0.0006329056244913315,0.005492950065145151
Llama 3 8B,Nf4,EN-GR,Hallucination_Risk,300,0.0021358123946294844,-0.001818249410984019,0.006743559845908781
Llama 3 8B,Nf4,EN-GR,Omission_Risk,300,0.0019159866626220175,-0.0010366560217579788,0.004889482444575319
Llama 3 8B,Nf4,EN-GR,Expanded_Hallucination_Risk,300,0.00380687402193881,0.0006746606243160377,0.007500718397161398
Llama 3 8B,Nf4,EN-GR,Expanded_Omission_Risk,300,0.005761952941098958,0.0020013380109187755,0.009458356599674875
Llama 3 8B,2bit 10% Fast Spqr,GR-EN,Hallucination_Risk,300,0.07001034294205037,0.05758170340111145,0.08234867102691587
Llama 3 8B,2bit 10% Fast Spqr,GR-EN,Omission_Risk,300,0.042930944758526726,0.0343315040897461,0.05172273291116445
Llama 3 8B,2bit 10% Fast Spqr,GR-EN,Expanded_Hallucination_Risk,300,0.06275431311167443,0.050534635549927466,0.07497731313210436
Llama 3 8B,2bit 10% Fast Spqr,GR-EN,Expanded_Omission_Risk,300,0.041274277787751806,0.034947811803051974,0.047981021752047895
Llama 3 8B,2bit 5% Spqr,GR-EN,Hallucination_Risk,300,0.3733571334694165,0.3510071432724467,0.39738519765883945
Llama 3 8B,2bit 5% Spqr,GR-EN,Omission_Risk,300,0.2715372059443869,0.25504514306471593,0.2865291470067324
Llama 3 8B,2bit 5% Spqr,GR-EN,Expanded_Hallucination_Risk,300,0.3080267672932869,0.28983859685261215,0.3242315043848335
Llama 3 8B,2bit 5% Spqr,GR-EN,Expanded_Omission_Risk,300,0.1916864414675545,0.17870227920825738,0.2018863048222035
Llama 3 8B,4bit K-Means,GR-EN,Hallucination_Risk,300,0.06298961800360223,0.052298850147374946,0.07615821722210908
Llama 3 8B,4bit K-Means,GR-EN,Omission_Risk,300,0.023332214961421915,0.015016031407662217,0.03173102351492281
Llama 3 8B,4bit K-Means,GR-EN,Expanded_Hallucination_Risk,300,0.05132958237880166,0.04085693819926611,0.06125169718971699
Llama 3 8B,4bit K-Means,GR-EN,Expanded_Omission_Risk,300,0.024883883061017697,0.018201696983586417,0.03288350760735793
Llama 3 8B,4bit Omniquant,GR-EN,Hallucination_Risk,300,0.04281100669704194,0.0337126674111672,0.052153929506417916
Llama 3 8B,4bit Omniquant,GR-EN,Omission_Risk,300,-0.0014569066515806217,-0.00745079870923993,0.006456271971899299
Llama 3 8B,4bit Omniquant,GR-EN,Expanded_Hallucination_Risk,300,0.03454087270020248,0.026365834790070295,0.04205700889397549
