Base_Model,Quantization,Is_Full_Model,Direction,Sentences,Unique_Sentences,Hallucination_Risk,Omission_Risk,Expanded_Hallucination_Risk,Expanded_Omission_Risk,Unsupported_Target_Ratio,Uncovered_Source_Ratio,Target_Null_Mass_Mean,Source_Null_Mass_Mean,Target_Mutual_Unaligned_Ratio,Source_Mutual_Unaligned_Ratio,Degeneration_Risk,Off_Target_Score,Off_Target_Flag,Source_Token_Copy_Ratio,Source_Copy_Flag,Extreme_Length_Flag,Short_Output_Risk,Long_Output_Risk,Entity_Precision,Entity_Recall,Number_Precision,Number_Recall,Negation_Precision,Negation_Recall,Source_Output_LaBSE_Cosine,Reference_Output_LaBSE_Cosine,COMET,chrF,Full_Hallucination_Risk,Full_Omission_Risk,Full_Expanded_Hallucination_Risk,Full_Expanded_Omission_Risk,Full_Unsupported_Target_Ratio,Full_Uncovered_Source_Ratio,Full_Degeneration_Risk,Full_Off_Target_Score,Full_Source_Token_Copy_Ratio,Excess_Hallucination_Risk,Excess_Omission_Risk,Excess_Expanded_Hallucination_Risk,Excess_Expanded_Omission_Risk,Excess_Unsupported_Target_Ratio,Excess_Uncovered_Source_Ratio,Excess_Degeneration_Risk,Excess_Off_Target_Score,Excess_Source_Token_Copy_Ratio
Gemini 2.5 Flash 32B,Full Model,1,EN-GR,300,300,0.04080929116369749,0.025809626015225864,0.04323944608014576,0.033366844130483714,0.02004039786580504,0.011254779168115427,0.021315899450373453,0.022553565467960567,0.08107157617491398,0.043620533409601606,0.018391362681138772,0.015192012242347498,0.0,0.02585604610524319,0.0,0.0,0.00047830981903969116,0.0,0.8774444444444445,0.8619444444444444,0.9942222222222221,0.9836666666666667,0.9794444444444443,0.9666666666666667,0.8856971675157547,0.9265215136607488,0.9066097259521484,0.5742534089202226,0.04080929116369749,0.025809626015225864,0.04323944608014576,0.033366844130483714,0.02004039786580504,0.011254779168115427,0.018391362681138772,0.015192012242347498,0.02585604610524319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,1,GR-EN,300,300,0.020699976169493674,0.046777866006236866,0.035738427737991456,0.04732582767325573,0.006263177418724122,0.02055944411931301,0.022511221688784312,0.0208536909451212,0.03332552940097259,0.09892046295427638,0.0204864276532865,0.0033333333333333335,0.0033333333333333335,0.026540835477316994,0.0033333333333333335,0.0,0.0005627705627705627,0.000185185185185185,0.8392460317460317,0.8150198412698413,0.985,0.9955555555555556,0.9466666666666667,0.9772222222222223,0.8870692557096481,0.941730713446935,0.8890770709514618,0.6496416265625765,0.020699976169493674,0.046777866006236866,0.035738427737991456,0.04732582767325573,0.006263177418724122,0.02055944411931301,0.0204864276532865,0.0033333333333333335,0.026540835477316994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Full Model,1,EN-GR,300,300,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.024915633563871196,0.026126139534358453,0.09845810662515987,0.04673777189081451,0.021895342350149692,0.021537339647462284,0.0,0.026472398190174558,0.0,0.0,0.00011793084963816614,0.0,0.8075555555555556,0.7911111111111111,0.9786666666666668,0.9886666666666667,0.9646666666666666,0.9616666666666667,0.8693874941269557,0.8988340858618419,0.8691635078191757,0.47721437633591324,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,2bit 10% Fast Spqr,0,EN-GR,300,300,0.15607681515687263,0.14967471456155296,0.16228047853483588,0.16215378049697451,0.1323811309841679,0.11381010335908935,0.09704521465448702,0.10266041750709219,0.23880409983196296,0.23255362281847738,0.1364062065932116,0.2450901985229993,0.18333333333333332,0.21666730307316243,0.17666666666666667,0.17333333333333334,0.06892106452622306,0.0724973618230552,0.7088888888888889,0.6512222222222223,0.975,0.955,0.9741666666666666,0.9105555555555557,0.7123311909396822,0.6851399289444089,0.5021063352624575,0.21376409271377714,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.107841717177488,0.12065330476637187,0.10565019707807666,0.1195347160544665,0.11104957723504506,0.09960978539871905,0.1145108642430619,0.223552858875537,0.19019490488298788
Llama 3 8B,2bit 5% Spqr,0,EN-GR,300,300,0.1521023511054171,0.2432992384756305,0.22241678690042174,0.335701276697582,0.1434280770771812,0.14420503680032612,0.11400398326642713,0.13083108208265648,0.19887499297264294,0.454861596543909,0.06505432916755381,0.9933333333333333,0.9933333333333333,0.7282979557376196,0.6366666666666667,0.45,0.27155131082437534,0.03796117257228369,0.5733333333333334,0.6116666666666667,0.9633333333333334,0.845,1.0,0.8166666666666667,0.6475048924423754,0.5875908614136278,0.37754487494627637,0.0055203253127582876,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.10386725312603245,0.21427782868044942,0.16578650544366252,0.29308221225507397,0.12209652332805836,0.13000471883995582,0.04315898681740412,0.971795993685871,0.701825557547445
Llama 3 8B,4bit K-Means,0,EN-GR,300,300,0.06441323682344613,0.05417018853794025,0.08682108194843437,0.08035915433326932,0.03637909589459752,0.033433566200935044,0.03821287737976231,0.037709413435232014,0.11864773719597858,0.09136758597765368,0.04499543886782695,0.14314550424230332,0.07333333333333333,0.12074487316587261,0.056666666666666664,0.043333333333333335,0.007388888619465073,0.027564798987021213,0.7369814814814815,0.7135555555555555,0.9731111111111111,0.9853333333333334,0.9636666666666668,0.9466666666666667,0.8250110991299152,0.8248095410193006,0.7027378763755162,0.3413441097444352,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.016178138844061496,0.025148778742759163,0.030190800491675156,0.037740089890761296,0.015047542145474688,0.01923324824056475,0.023100096517677256,0.12160816459484104,0.09427247497569805
Llama 3 8B,4bit Omniquant,0,EN-GR,300,300,0.05260856296693658,0.028333299243264585,0.06733871984551676,0.05097021544459567,0.02356313083016105,0.013384434559962506,0.02475909650534898,0.026475860527402466,0.10950346156529969,0.045139602642428785,0.02162301923897334,0.07546688873288468,0.02,0.06312097330507282,0.016666666666666666,0.0,0.0002238998580461991,0.0,0.7586111111111111,0.7703888888888889,0.9853333333333334,0.9886666666666667,0.9633333333333334,0.9516666666666667,0.8696147151788076,0.8889556582768758,0.8343601499001185,0.44060964541252995,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.0043734649875519435,-0.0006881105519165008,0.010708438388757548,0.00835115100208765,0.0022315770810382163,-0.0008158834004077901,-0.0002723231111763508,0.0539295490854224,0.03664857511489827
Llama 3 8B,4bit Optimized GPTQ,0,EN-GR,300,300,0.055025584979582876,0.030503509949637575,0.06669021899458084,0.045539772284529545,0.025559017596360405,0.013892622102949611,0.026581429300092583,0.02778106547047672,0.11293630804229568,0.049836842275486404,0.024454233208660907,0.02178830087948686,0.0,0.026962343604187283,0.0,0.01,0.0011721611721611717,0.005922341696535245,0.7520634920634921,0.7722222222222221,0.9803333333333334,0.9853333333333334,0.965,0.965,0.8625694734851519,0.8898239136735598,0.8552397070328395,0.4646641156911119,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.006790487000198242,0.0014821001544564893,0.010059937537821632,0.0029207078420215235,0.0042274638472375725,-0.000307695857420685,0.0025588908585112147,0.0002509612320245741,0.0004899454140127255
Llama 3 8B,4bit Spinquant,0,EN-GR,300,300,0.04896449939147332,0.02677018347483429,0.05900001744737034,0.04447609310367206,0.020874545006337248,0.010695924239255432,0.02308997917784115,0.02453778943999164,0.10292897399024158,0.045076836745255804,0.022514452135811117,0.028818761723845673,0.0033333333333333335,0.029435914910151767,0.0033333333333333335,0.0,0.0004297328687572589,0.0,0.7915634920634921,0.7711111111111112,0.9820000000000001,0.9886666666666667,0.9663333333333333,0.955,0.8698515500624975,0.8945318750540415,0.8534682133793831,0.46273778270578864,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.0007294014120886871,-0.0022512263203467962,0.0023697359906111257,0.0018570286611640369,-0.00045700874278558484,-0.0035043937211148637,0.0006191097856614244,0.007281422076383388,0.002963516719977209
Llama 3 8B,4bit Static GPTQ,0,EN-GR,300,300,0.05090817740178379,0.0299363652475548,0.058295505564799587,0.044059653659656244,0.022281708774011998,0.014171821182703765,0.025106593308032592,0.026935291115545983,0.10533623012330678,0.04870198344441464,0.02042957073362751,0.03162320289597049,0.0033333333333333335,0.03490093651603941,0.0033333333333333335,0.0,0.0008197193824371515,0.0,0.8108730158730159,0.7938888888888889,0.9820000000000001,0.9886666666666667,0.9713333333333333,0.9633333333333334,0.8672936056057612,0.8965426184733709,0.8623423145214717,0.4685399409656994,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.002673079422399159,0.0009149554523737134,0.0016652241080403751,0.001440589217148222,0.0009501550248891648,-2.8496777666531248e-05,-0.0014657716165221817,0.010085863248508204,0.008428538325864855
Llama 3 8B,4bit True GPTQ,0,EN-GR,300,300,0.057566104711475885,0.02868615635698685,0.06345730100596532,0.04333223337761583,0.02277480109952469,0.012310628474302553,0.02664041296328552,0.027944025718105888,0.12328310007161744,0.045803814878552104,0.023158305546394694,0.024994253891443163,0.0,0.03128915289017759,0.0,0.01,0.0005862720322650625,0.00826176280810427,0.8027777777777778,0.7869444444444444,0.9742222222222222,0.9886666666666667,0.9696666666666666,0.9633333333333334,0.8646103610595067,0.8961184620857239,0.8660544240474701,0.47074496930647425,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.009331006732091252,-0.000335253438194235,0.006827019549206108,0.0007131689351078108,0.0014432473504018585,-0.0018896894860677433,0.0012629631962450018,0.003456914243980879,0.004816754700003034
Llama 3 8B,Analytical Net Mngr 5GB,0,EN-GR,300,300,0.16173493277730516,0.15084425561853737,0.259703717342898,0.24288604131043395,0.10166516340408215,0.13212372634522934,0.08565598082357254,0.12666028948398678,0.2978836541042609,0.193748751026396,0.0752894296695587,0.9563879993192859,0.9566666666666667,0.48099716363029454,0.38,0.26,0.06992469259847466,0.1548869860139541,0.3327777777777778,0.615,0.9871923076923076,0.9328333333333334,1.0,0.8166666666666667,0.546555329731976,0.4931703744518745,0.3932636894782384,0.010235538799427265,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.11349983479792053,0.12182284582335628,0.20307343588613877,0.20026697686792594,0.08033360965495931,0.11792340838485904,0.05339408731940901,0.9348506596718236,0.45452476544012
Llama 3 8B,Empirical Net Mngr 5.5GB,0,EN-GR,300,300,0.050231928235925524,0.03627701719799639,0.06277600511479965,0.05281256724012406,0.02449777999169354,0.01873331763369372,0.02851834212463207,0.029566880782711143,0.09767966259145097,0.060530853177584304,0.02186938310915475,0.036350487211217364,0.0033333333333333335,0.038554456053027035,0.0033333333333333335,0.006666666666666667,0.004700015572328543,0.0003703703703703705,0.7715,0.7538888888888888,0.9836666666666667,0.9853333333333334,0.9760555555555556,0.9616666666666667,0.8566165070732434,0.8770984907944998,0.8230792118112246,0.43624002248543653,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.0019968302565408907,0.007255607402815306,0.00614572365804044,0.010193502797616036,0.0031662262425707077,0.004532999673323422,-2.5959240994941762e-05,0.01481314756375508,0.012082057862852477
Llama 3 8B,Fp4,0,EN-GR,300,300,0.05156128659452121,0.02993061116203349,0.06066648172240497,0.04524222908001421,0.021213451810840868,0.014634648806317969,0.025152005570979852,0.026362457829852075,0.10831840240174292,0.048794726849930414,0.022742296869724888,0.03861110874883309,0.0033333333333333335,0.03935119027259569,0.0033333333333333335,0.006666666666666667,0.0004172250513713923,0.004557124518613607,0.8033174603174603,0.7861111111111111,0.9753333333333334,0.9886666666666667,0.968,0.97,0.8668766158819199,0.8912770440181096,0.8542232509454092,0.45243557165595066,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.0033261886151365744,0.0009092013668524045,0.004036200265645759,0.002623164637506191,-0.00011810193828196494,0.00043433084594767316,0.0008469545195751958,0.017073769101370807,0.012878792082421132
Llama 3 8B,Fp4 AWQ,0,EN-GR,300,300,0.0566357214250775,0.030144280924363186,0.06584785926898697,0.04721167424442504,0.025503704159249126,0.015418776583286482,0.027182556753589406,0.02780865653930454,0.11722090336239396,0.047205409650498534,0.0253413589008613,0.03355922461835769,0.0033333333333333335,0.03681736093344426,0.0033333333333333335,0.006666666666666667,0.00035602608773340394,0.005093775287892935,0.7742777777777777,0.7655555555555555,0.9820000000000001,0.9886666666666667,0.9713333333333333,0.9633333333333334,0.8681030587355296,0.8931832228104274,0.8569137085477511,0.4619511798352995,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.008400623445692867,0.0011228711291821,0.009217577812227755,0.004592609801917016,0.0041721504101262935,0.001218458622916186,0.003446016550711608,0.012021884970895406,0.010344962743269702
Llama 3 8B,Fp8,0,EN-GR,300,300,0.05256439676080629,0.028662358624070065,0.06060325174491567,0.04369750519700725,0.02180779191687997,0.013455165101657389,0.025740588362909815,0.02730179234758324,0.11014481000262909,0.04523011842296957,0.0221710087990918,0.028160039581808894,0.0033333333333333335,0.033131973200064696,0.0033333333333333335,0.006666666666666667,0.0010825057166520577,0.0032484848484848478,0.7947222222222222,0.789611111111111,0.9853333333333334,0.9886666666666667,0.9646666666666666,0.9583333333333334,0.8695117060343425,0.8978412117560705,0.8706154014666875,0.47669615688530986,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.004329298781421659,-0.0003590511711110203,0.003972970288156456,0.001078440754499227,0.0004762381677571384,-0.000745152858712907,0.0002756664489421065,0.00662269993434661,0.006659575009890138
Llama 3 8B,Fp8 Per Tensor,0,EN-GR,300,300,0.05428824707505701,0.029838531682912995,0.0608771540377662,0.043749366085983274,0.023572584145285933,0.013976939059316866,0.02646555933014974,0.02802408128957101,0.11282659774973536,0.047514574699851105,0.02186834612922065,0.030707834687830882,0.0033333333333333335,0.03459925960712224,0.0033333333333333335,0.0033333333333333335,0.0010825057166520577,0.0018222222222222218,0.8085555555555556,0.7966666666666666,0.9742222222222222,0.9886666666666667,0.9663333333333333,0.9616666666666667,0.8680968483289083,0.8979038941860199,0.8696233548720678,0.4786081622861765,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.0060531490956723735,0.0008171218877319093,0.004246872581006991,0.0011303016434752525,0.0022410303961631003,-0.00022337890105342956,-2.6996220929043774e-05,0.009170495040368598,0.008126861416947684
Llama 3 8B,Int2 Batch16,0,EN-GR,300,300,0.20613401978862214,0.42252865672476736,0.24136287590792999,0.4136252661643112,0.19050160241890451,0.331731833121418,0.14497336161715932,0.3197517981707007,0.2829270953298026,0.6161023388821832,0.034262123387819636,0.84,0.84,0.2320343006160902,0.11666666666666667,0.6433333333333333,0.422494566015513,0.06511574844908179,0.7477777777777778,0.61,0.98,0.8283333333333334,1.0,0.8166666666666667,0.2605962898302823,0.2792933186217366,0.2955163809160391,0.003464913710483839,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.1578989218092375,0.3935072469295863,0.18473259445117077,0.3710062017218032,0.1691700486697817,0.3175315151610477,0.012366781037669944,0.8184626603525377,0.20556190242591565
Llama 3 8B,Int4,0,EN-GR,300,300,0.05249759303163179,0.031098911490078596,0.06121119834828086,0.047007639739039986,0.02169007991403371,0.016660526453001336,0.026492784740238962,0.028105820942449764,0.1093099144406227,0.04853038707478469,0.022259194935246,0.03951752837294725,0.006666666666666667,0.04101982345585348,0.006666666666666667,0.0033333333333333335,0.0006417831020163991,0.004489928525016244,0.7990396825396825,0.7825,0.9842222222222222,0.9886666666666667,0.966111111111111,0.9583333333333334,0.8663771492242813,0.8919721833864848,0.8580759183565776,0.4606928032462951,0.048235097979384634,0.029021409795181086,0.05663028145675921,0.04261906444250802,0.021331553749122833,0.014200317960370296,0.021895342350149692,0.021537339647462284,0.026472398190174558,0.004262495052247156,0.00207750169489751,0.0045809168915216456,0.004388575296531964,0.000358526164910878,0.0024602084926310403,0.0003638525850963095,0.01798018872548497,0.014547425265678919
