Base_Model,Quantization,Direction,Category_Type,Category_Value,comet_score,chrf_score,Count,Baseline_COMET,Baseline_chrF,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Category_Penalty,chrF_Category_Penalty,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Excess_Category_Effect,chrF_Excess_Category_Effect
Gemini 2.5 Flash 32B,Full Model,All,Domain,Other,0.896388,0.611928,128,0.896388,0.611928,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Domain,Wikijunior,0.895476,0.624781,62,0.895476,0.624781,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Domain,Wikinews,0.898493,0.62721,204,0.898493,0.62721,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Domain,Wikivoyage,0.898816,0.592983,206,0.898816,0.592983,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Accident,0.900698,0.507969,8,0.900698,0.507969,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,American Education/Forgotten Half/Foster Care,0.906805,0.546407,2,0.906805,0.546407,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,American Education/Technology (Role),0.851751,0.534494,2,0.851751,0.534494,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,American_Revolution/The_Declaration_Of_Independence,0.921271,0.626203,2,0.921271,0.626203,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Ancient Civilizations/Romans,0.916996,0.601166,4,0.916996,0.601166,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Ancient_Civilizations/Babylonians,0.878582,0.549629,4,0.878582,0.549629,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Ancient_Civilizations/Hebrews,0.905221,0.750296,2,0.905221,0.750296,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Ancient_Civilizations/What_Is_A_Civilization%3F,0.900737,0.572015,2,0.900737,0.572015,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Antartica, Travel",0.888291,0.672413,4,0.888291,0.672413,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Big Cats, Lion",0.88892,0.622755,2,0.88892,0.622755,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Big Cats, Ocelot",0.831704,0.573676,4,0.831704,0.573676,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Big Cats, Tiger",0.905403,0.782035,2,0.905403,0.782035,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Biology, Origin Of Life",0.923755,0.714018,2,0.923755,0.714018,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Biology, Plants",0.950249,0.745862,2,0.950249,0.745862,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Blended Learning/Blogging,0.909651,0.741296,2,0.909651,0.741296,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Blended Learning/Field Trips,0.884183,0.620855,4,0.884183,0.620855,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Bugs/Insects_Intro,0.894593,0.784824,4,0.894593,0.784824,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Business,0.889835,0.523594,4,0.889835,0.523594,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Climate,0.916567,0.691589,4,0.916567,0.691589,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Cognitive Psycology And Neuroscience/Cognitive Neuropsychology,0.910323,0.599425,6,0.910323,0.599425,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Communication,0.917813,0.692635,2,0.917813,0.692635,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Communication Theory/Nonverbal Comms,0.809414,0.39617,2,0.809414,0.39617,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Communication Theory/Uses And Gratifications,0.933164,0.653189,4,0.933164,0.653189,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Crime,0.89375,0.578779,8,0.89375,0.578779,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Crime And Law,0.91202,0.630214,12,0.91202,0.630214,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Culture,0.912036,0.509575,2,0.912036,0.509575,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Culture And Entertainment,0.894104,0.592492,12,0.894104,0.592492,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Dinosaurs, Mosasaurus",0.862292,0.605975,2,0.862292,0.605975,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Disaster,0.922729,0.679219,8,0.922729,0.679219,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Disasters And Accidents,0.923631,0.5852,6,0.923631,0.5852,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Disease, Research, Canada",0.863941,0.50569,2,0.863941,0.50569,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Entertainment,0.917862,0.744455,12,0.917862,0.744455,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Environment,0.908637,0.641639,12,0.908637,0.641639,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Environmental_Theory_And_Collection_Of_Ideas/Environmentalism_And_Survival,0.899717,0.470976,6,0.899717,0.470976,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Europe/Vatican_City,0.947108,0.653328,2,0.947108,0.653328,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,European History/Challenges To Spiritual Authority,0.913056,0.663308,4,0.913056,0.663308,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
