Base_Model,Quantization,Direction,Challenge,Normal_Count,Challenging_Count,COMET_Normal,COMET_Challenging,chrF_Normal,chrF_Challenging,COMET_Raw_Gap,chrF_Raw_Gap,Baseline_COMET_Normal,Baseline_COMET_Challenging,Baseline_chrF_Normal,Baseline_chrF_Challenging,Baseline_COMET_Raw_Gap,Baseline_chrF_Raw_Gap,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Normal_Penalty,COMET_Challenging_Penalty,chrF_Normal_Penalty,chrF_Challenging_Penalty,COMET_Excess_Challenge_Effect,chrF_Excess_Challenge_Effect,COMET_Effect_Check,chrF_Effect_Check
Gemini 2.5 Flash 32B,Full Model,All,Has_Rare_Words,224,376,0.903911,0.894228,0.583447,0.628927,0.009683,-0.04548,0.903911,0.894228,0.583447,0.628927,0.009683,-0.04548,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,High_Morphology,450,150,0.89596,0.903492,0.60867,0.621781,-0.007532,-0.013111,0.89596,0.903492,0.60867,0.621781,-0.007532,-0.013111,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Is_Long_Sentence,565,35,0.89887,0.881268,0.607472,0.684199,0.017603,-0.076727,0.89887,0.881268,0.607472,0.684199,0.017603,-0.076727,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,Has_Rare_Words,163,137,0.908939,0.903838,0.568771,0.580776,0.005102,-0.012005,0.908939,0.903838,0.568771,0.580776,0.005102,-0.012005,0.90661,0.574253,0.90661,0.574253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,High_Morphology,225,75,0.904227,0.913758,0.570154,0.586551,-0.009531,-0.016397,0.904227,0.913758,0.570154,0.586551,-0.009531,-0.016397,0.90661,0.574253,0.90661,0.574253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,Is_Long_Sentence,288,12,0.907262,0.890965,0.572894,0.606891,0.016297,-0.033997,0.907262,0.890965,0.572894,0.606891,0.016297,-0.033997,0.90661,0.574253,0.90661,0.574253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,Has_Rare_Words,61,239,0.890476,0.88872,0.622662,0.656528,0.001756,-0.033866,0.890476,0.88872,0.622662,0.656528,0.001756,-0.033866,0.889077,0.649642,0.889077,0.649642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,High_Morphology,225,75,0.887694,0.893226,0.647185,0.657011,-0.005532,-0.009826,0.887694,0.893226,0.647185,0.657011,-0.005532,-0.009826,0.889077,0.649642,0.889077,0.649642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,Is_Long_Sentence,277,23,0.890146,0.876208,0.643423,0.724533,0.013937,-0.08111,0.890146,0.876208,0.643423,0.724533,0.013937,-0.08111,0.889077,0.649642,0.889077,0.649642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,2bit 10% Fast Spqr,All,Has_Rare_Words,224,376,0.563881,0.606295,0.273174,0.328087,-0.042415,-0.054912,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.590461,0.307586,0.869891,0.538079,0.27943,0.230493,0.313457,0.259159,0.240053,0.224798,-0.054298,-0.015255,-0.054298,-0.015255
Llama 3 8B,2bit 10% Fast Spqr,All,High_Morphology,450,150,0.586775,0.601516,0.303334,0.320341,-0.014741,-0.017006,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.590461,0.307586,0.869891,0.538079,0.27943,0.230493,0.280678,0.275688,0.229445,0.233638,-0.004989,0.004193,-0.004989,0.004193
Llama 3 8B,2bit 10% Fast Spqr,All,Is_Long_Sentence,565,35,0.592884,0.551337,0.306421,0.326393,0.041547,-0.019972,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.590461,0.307586,0.869891,0.538079,0.27943,0.230493,0.278205,0.299209,0.228296,0.265957,0.021004,0.037661,0.021004,0.037661
Llama 3 8B,2bit 5% Spqr,All,Has_Rare_Words,224,376,0.391226,0.346906,0.051592,0.098746,0.04432,-0.047154,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.363452,0.081142,0.869891,0.538079,0.506439,0.456937,0.486111,0.518549,0.461635,0.454138,0.032437,-0.007497,0.032437,-0.007497
Llama 3 8B,2bit 5% Spqr,All,High_Morphology,499,101,0.360053,0.380245,0.086775,0.053314,-0.020191,0.033461,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.363452,0.081142,0.869891,0.538079,0.506439,0.456937,0.5074,0.49696,0.446005,0.500665,-0.010439,0.05466,-0.010439,0.05466
Llama 3 8B,2bit 5% Spqr,All,Is_Long_Sentence,565,35,0.368171,0.287273,0.081239,0.079573,0.080899,0.001667,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.363452,0.081142,0.869891,0.538079,0.506439,0.456937,0.502918,0.563273,0.453478,0.512777,0.060355,0.059299,0.060355,0.059299
Llama 3 8B,4bit K-Means,All,Has_Rare_Words,224,376,0.740971,0.717231,0.393397,0.399962,0.02374,-0.006564,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.726094,0.397511,0.869891,0.538079,0.143797,0.140568,0.136367,0.148223,0.11983,0.152923,0.011857,0.033093,0.011857,0.033093
