Base_Model,Quantization,Direction,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Mean_Abs_Challenge_Effect,chrF_Mean_Abs_Challenge_Effect,COMET_Max_Positive_Challenge_Effect,chrF_Max_Positive_Challenge_Effect
Gemini 2.5 Flash 32B,Full Model,All,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,EN-GR,0.90661,0.574253,0.90661,0.574253,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,GR-EN,0.889077,0.649642,0.889077,0.649642,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,2bit 10% Fast Spqr,All,0.590461,0.307586,0.869891,0.538079,0.27943,0.230493,0.026764,0.019036,0.021004,0.037661
Llama 3 8B,2bit 5% Spqr,All,0.363452,0.081142,0.869891,0.538079,0.506439,0.456937,0.034411,0.040485,0.060355,0.059299
Llama 3 8B,4bit K-Means,All,0.726094,0.397511,0.869891,0.538079,0.143797,0.140568,0.008887,0.013577,0.011857,0.033093
Llama 3 8B,4bit Omniquant,All,0.838981,0.503339,0.869891,0.538079,0.03091,0.03474,0.006316,0.015734,0.005775,0.018652
Llama 3 8B,4bit Optimized GPTQ,All,0.857433,0.520575,0.869891,0.538079,0.012458,0.017504,0.003968,0.011136,0.009292,0.015089
Llama 3 8B,4bit Spinquant,All,0.860277,0.526108,0.869891,0.538079,0.009614,0.011971,0.00425,0.007516,0.005962,0.010914
Llama 3 8B,4bit Static GPTQ,All,0.864398,0.530931,0.869891,0.538079,0.005493,0.007148,0.00332,0.003771,0.004272,0.006232
Llama 3 8B,4bit True GPTQ,All,0.865303,0.52722,0.869891,0.538079,0.004588,0.010859,0.004593,0.003868,0.005568,0.005626
Llama 3 8B,Analytical Net Mngr 5GB,All,0.432162,0.12502,0.869891,0.538079,0.437729,0.413059,0.031853,0.037893,0.046981,0.059179
Llama 3 8B,Empirical Net Mngr 5.5GB,All,0.799101,0.467129,0.869891,0.538079,0.07079,0.07095,0.00813,0.013104,0.021555,0.024321
Llama 3 8B,Fp4,All,0.855187,0.515327,0.869891,0.538079,0.014704,0.022752,0.003663,0.004688,0.00355,0.005916
Llama 3 8B,Fp4 AWQ,All,0.856789,0.522394,0.869891,0.538079,0.013102,0.015685,0.003121,0.003863,0.006064,0.007347
Llama 3 8B,Fp8,All,0.87058,0.536181,0.869891,0.538079,-0.00069,0.001898,0.002226,0.004246,0.00147,0.004798
Llama 3 8B,Fp8 Per Tensor,All,0.868968,0.535744,0.869891,0.538079,0.000923,0.002335,0.003843,0.005287,0.001626,-0.001825
Llama 3 8B,Full Model,All,0.869891,0.538079,0.869891,0.538079,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Int2 Batch16,All,0.350915,0.081979,0.869891,0.538079,0.518976,0.4561,0.016387,0.022619,-0.006428,0.035946
Llama 3 8B,Int4,All,0.862163,0.525462,0.869891,0.538079,0.007728,0.012618,0.004822,0.004611,0.00378,0.001449
Llama 3 8B,Int4 AWQ,All,0.86269,0.526592,0.869891,0.538079,0.007201,0.011487,0.00279,0.002263,0.001625,0.001435
Llama 3 8B,Int8,All,0.86876,0.536103,0.869891,0.538079,0.001131,0.001976,0.002268,0.004542,0.002134,-0.002331
Llama 3 8B,Int8 A8W8,All,0.869451,0.53488,0.869891,0.538079,0.00044,0.003199,0.001358,0.004688,0.002155,0.005831
Llama 3 8B,Int8 Bookends,All,0.868971,0.536745,0.869891,0.538079,0.00092,0.001334,0.003637,0.004075,0.00536,0.009294
Llama 3 8B,Nf4,All,0.862283,0.52463,0.869891,0.538079,0.007608,0.013449,0.002115,0.004166,0.002359,0.008589
Llama 3 8B,2bit 10% Fast Spqr,EN-GR,0.502106,0.213764,0.869164,0.477214,0.367057,0.26345,0.039905,0.025134,0.116636,0.071646
Llama 3 8B,2bit 5% Spqr,EN-GR,0.377545,0.00552,0.869164,0.477214,0.491619,0.471694,0.040532,0.015256,0.074099,0.024217
Llama 3 8B,4bit K-Means,EN-GR,0.702738,0.341344,0.869164,0.477214,0.166426,0.13587,0.017548,0.020918,0.029154,0.028503
Llama 3 8B,4bit Omniquant,EN-GR,0.83436,0.44061,0.869164,0.477214,0.034803,0.036605,0.008206,0.021625,0.014222,0.033169
Llama 3 8B,4bit Optimized GPTQ,EN-GR,0.85524,0.464664,0.869164,0.477214,0.013924,0.01255,0.007231,0.016727,0.013133,0.020123
Llama 3 8B,4bit Spinquant,EN-GR,0.853468,0.462738,0.869164,0.477214,0.015695,0.014477,0.002464,0.006856,6.8e-05,0.009066
Llama 3 8B,4bit Static GPTQ,EN-GR,0.862342,0.46854,0.869164,0.477214,0.006821,0.008674,0.009722,0.005596,0.006086,0.009801
Llama 3 8B,4bit True GPTQ,EN-GR,0.866054,0.470745,0.869164,0.477214,0.003109,0.006469,0.004313,0.004958,0.010817,0.0068
Llama 3 8B,Analytical Net Mngr 5GB,EN-GR,0.393264,0.010236,0.869164,0.477214,0.4759,0.466979,0.034098,0.016851,0.038008,0.019623
Llama 3 8B,Empirical Net Mngr 5.5GB,EN-GR,0.823079,0.43624,0.869164,0.477214,0.046084,0.040974,0.005429,0.015818,0.001636,0.01295
Llama 3 8B,Fp4,EN-GR,0.854223,0.452436,0.869164,0.477214,0.01494,0.024779,0.006385,0.006249,0.003212,0.013388
Llama 3 8B,Fp4 AWQ,EN-GR,0.856914,0.461951,0.869164,0.477214,0.01225,0.015263,0.007583,0.011004,0.010015,0.006301
Llama 3 8B,Fp8,EN-GR,0.870615,0.476696,0.869164,0.477214,-0.001452,0.000518,0.007233,0.004709,0.003207,0.004857
Llama 3 8B,Fp8 Per Tensor,EN-GR,0.869623,0.478608,0.869164,0.477214,-0.00046,-0.001394,0.009544,0.014024,0.004077,-0.004557
Llama 3 8B,Full Model,EN-GR,0.869164,0.477214,0.869164,0.477214,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Int2 Batch16,EN-GR,0.295516,0.003465,0.869164,0.477214,0.573647,0.473749,0.014727,0.017198,0.024631,0.021948
