Base_Model,Quantization,Metric_Family,Metric_ID,Metric_Label,Sentence_Count,Support,Reliability,Display_Unit,Quantized_Value,Baseline_Value,Excess_Effect,Quantized_Underproduction,Baseline_Underproduction,Excess_Underproduction,Quantized_Overproduction,Baseline_Overproduction,Excess_Overproduction
Gemini 2.5 Flash 32B,Full Model,Content preservation,named_entities,Named-entity recall,300,511.0,Adequate support,percentage-point recall loss,66.14481409001957,66.14481409001957,0.0,33.85518590998043,33.85518590998043,0.0,50.0,50.0,0.0
Gemini 2.5 Flash 32B,Full Model,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,75.80645161290323,75.80645161290323,0.0,24.193548387096776,24.193548387096776,0.0,6.333333333333333,6.333333333333333,0.0
Gemini 2.5 Flash 32B,Full Model,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,87.24832214765101,87.24832214765101,0.0,12.751677852348994,12.751677852348994,0.0,5.333333333333333,5.333333333333333,0.0
Gemini 2.5 Flash 32B,Full Model,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,79.37384898710866,79.37384898710866,0.0,20.626151012891345,20.626151012891345,0.0,37.333333333333336,37.333333333333336,0.0
Gemini 2.5 Flash 32B,Full Model,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,26.0,Low support,percentage-point violation rate,3.8461538461538463,3.8461538461538463,0.0,,,,,,
Gemini 2.5 Flash 32B,Full Model,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,132.0,Adequate support,percentage-point violation rate,0.0,0.0,0.0,,,,,,
Gemini 2.5 Flash 32B,Full Model,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,114.0,Adequate support,percentage-point violation rate,2.6315789473684212,2.6315789473684212,0.0,,,,,,
Gemini 2.5 Flash 32B,Full Model,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,43.666666666666664,43.666666666666664,0.0,11.670480549199084,11.670480549199084,0.0,26.666666666666668,26.666666666666668,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,50.666666666666664,50.666666666666664,0.0,14.545454545454545,14.545454545454545,0.0,29.333333333333332,29.333333333333332,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,infinitival_markers,Infinitival markers,300,109.0,Adequate support,divergences per 100 sentences,21.0,21.0,0.0,33.027522935779814,33.027522935779814,0.0,9.0,9.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,modal_auxiliaries,Modal auxiliaries,300,77.0,Adequate support,divergences per 100 sentences,12.666666666666666,12.666666666666666,0.0,28.571428571428573,28.571428571428573,0.0,5.333333333333333,5.333333333333333,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,of_genitives,Of-genitive constructions,300,193.0,Adequate support,divergences per 100 sentences,35.333333333333336,35.333333333333336,0.0,25.38860103626943,25.38860103626943,0.0,19.0,19.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,participles,Participles,300,356.0,Adequate support,divergences per 100 sentences,54.666666666666664,54.666666666666664,0.0,25.84269662921348,25.84269662921348,0.0,24.0,24.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,passive_constructions,Passive constructions,300,107.0,Adequate support,divergences per 100 sentences,19.666666666666668,19.666666666666668,0.0,22.429906542056074,22.429906542056074,0.0,11.666666666666666,11.666666666666666,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,possessive_nominals,Possessive nominals,300,110.0,Adequate support,divergences per 100 sentences,20.666666666666668,20.666666666666668,0.0,20.90909090909091,20.90909090909091,0.0,13.0,13.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,prepositions,Prepositions,300,756.0,Adequate support,divergences per 100 sentences,74.33333333333333,74.33333333333333,0.0,13.359788359788359,13.359788359788359,0.0,40.666666666666664,40.666666666666664,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,relative_clauses,Relative clauses,300,83.0,Adequate support,divergences per 100 sentences,21.333333333333332,21.333333333333332,0.0,34.93975903614458,34.93975903614458,0.0,11.666666666666666,11.666666666666666,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,relative_markers,Relative markers,300,102.0,Adequate support,divergences per 100 sentences,22.666666666666668,22.666666666666668,0.0,20.58823529411765,20.58823529411765,0.0,15.666666666666666,15.666666666666666,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,subordinating_conjunctions,Subordinating conjunctions,300,119.0,Adequate support,divergences per 100 sentences,19.333333333333332,19.333333333333332,0.0,18.48739495798319,18.48739495798319,0.0,12.0,12.0,0.0
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,named_entities,Named-entity recall,300,511.0,Adequate support,percentage-point recall loss,39.53033268101761,60.46966731898239,20.939334637964777,60.46966731898239,39.53033268101761,20.939334637964777,177.66666666666666,57.333333333333336,120.33333333333333
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,48.38709677419355,74.19354838709677,25.806451612903217,51.61290322580645,25.806451612903224,25.806451612903224,15.666666666666666,7.0,8.666666666666666
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,57.04697986577181,83.22147651006712,26.17449664429531,42.95302013422819,16.778523489932887,26.174496644295303,19.333333333333332,7.333333333333333,12.0
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,46.224677716390424,72.00736648250461,25.782688766114184,53.775322283609576,27.992633517495396,25.78268876611418,217.66666666666666,45.0,172.66666666666666
Llama 3 8B,2bit 10% Fast Spqr,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,26.0,Low support,percentage-point violation rate,0.0,3.4482758620689653,-3.4482758620689653,,,,,,
Llama 3 8B,2bit 10% Fast Spqr,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,150.0,Adequate support,percentage-point violation rate,0.0,1.3333333333333333,-1.3333333333333333,,,,,,
Llama 3 8B,2bit 10% Fast Spqr,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,110.0,Adequate support,percentage-point violation rate,8.469055374592834,1.8181818181818181,6.650873556411016,,,,,,
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,97.66666666666667,53.0,44.66666666666667,22.65446224256293,14.187643020594965,8.466819221967963,64.66666666666667,32.333333333333336,32.333333333333336
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,169.33333333333334,78.66666666666667,90.66666666666667,12.045454545454545,9.318181818181818,2.7272727272727266,151.66666666666666,65.0,86.66666666666666
