Base_Model,Quantization,Metric_Family,Metric_ID,Metric_Label,Sentence_Count,Support,Reliability,Display_Unit,Quantized_Value,Baseline_Value,Excess_Effect,Quantized_Underproduction,Baseline_Underproduction,Excess_Underproduction,Quantized_Overproduction,Baseline_Overproduction,Excess_Overproduction
Gemini 2.5 Flash 32B,Full Model,Content preservation,named_entities,Named-entity recall,300,200.0,Adequate support,percentage-point recall loss,62.0,62.0,0.0,38.0,38.0,0.0,22.666666666666668,22.666666666666668,0.0
Gemini 2.5 Flash 32B,Full Model,Content preservation,negations,Negation recall,300,69.0,Adequate support,percentage-point recall loss,79.71014492753623,79.71014492753623,0.0,20.28985507246377,20.28985507246377,0.0,3.3333333333333335,3.3333333333333335,0.0
Gemini 2.5 Flash 32B,Full Model,Content preservation,numbers,Number recall,300,168.0,Adequate support,percentage-point recall loss,76.78571428571429,76.78571428571429,0.0,23.214285714285715,23.214285714285715,0.0,18.333333333333332,18.333333333333332,0.0
Gemini 2.5 Flash 32B,Full Model,Content preservation,proper_nouns,Proper-noun recall,300,180.0,Adequate support,percentage-point recall loss,57.77777777777778,57.77777777777778,0.0,42.22222222222222,42.22222222222222,0.0,32.0,32.0,0.0
Gemini 2.5 Flash 32B,Full Model,Internal agreement,adjective_noun_agreement,Adjective–noun disagreement,300,454.0,Adequate support,percentage-point violation rate,18.281938325991188,18.281938325991188,0.0,,,,,,
Gemini 2.5 Flash 32B,Full Model,Internal agreement,determiner_noun_agreement,Determiner–noun disagreement,300,808.0,Adequate support,percentage-point violation rate,10.148514851485148,10.148514851485148,0.0,,,,,,
Gemini 2.5 Flash 32B,Full Model,Internal agreement,subject_verb_agreement,Subject–verb disagreement,300,401.0,Adequate support,percentage-point violation rate,16.209476309226932,16.209476309226932,0.0,,,,,,
Gemini 2.5 Flash 32B,Full Model,Structural realisation,adjective_modifiers,Adjective modifiers,300,466.0,Adequate support,divergences per 100 sentences,56.666666666666664,56.666666666666664,0.0,15.879828326180258,15.879828326180258,0.0,32.0,32.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,definite_articles,Definite articles,300,1120.0,Adequate support,divergences per 100 sentences,95.66666666666667,95.66666666666667,0.0,18.035714285714285,18.035714285714285,0.0,28.333333333333332,28.333333333333332,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,genitive_determiners,Genitive determiners,300,301.0,Adequate support,divergences per 100 sentences,46.666666666666664,46.666666666666664,0.0,28.571428571428573,28.571428571428573,0.0,18.0,18.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,genitive_nominals,Genitive nominals,300,541.0,Adequate support,divergences per 100 sentences,80.0,80.0,0.0,26.98706099815157,26.98706099815157,0.0,31.333333333333332,31.333333333333332,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,participles,Participles,300,15.0,Low support,divergences per 100 sentences,8.666666666666666,8.666666666666666,0.0,60.0,60.0,0.0,5.666666666666667,5.666666666666667,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,passive_verbs,Passive verbs,300,365.0,Adequate support,divergences per 100 sentences,57.0,57.0,0.0,22.19178082191781,22.19178082191781,0.0,30.0,30.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,prepositions,Prepositions,300,651.0,Adequate support,divergences per 100 sentences,61.666666666666664,61.666666666666664,0.0,18.740399385560675,18.740399385560675,0.0,21.0,21.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,pronoun_clitics,Personal-pronoun clitics,300,19.0,Low support,divergences per 100 sentences,4.666666666666667,4.666666666666667,0.0,42.10526315789474,42.10526315789474,0.0,2.0,2.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,relative_clauses,Relative clauses,300,145.0,Adequate support,divergences per 100 sentences,26.333333333333332,26.333333333333332,0.0,36.55172413793103,36.55172413793103,0.0,8.666666666666666,8.666666666666666,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,relative_markers,Relative markers,300,175.0,Adequate support,divergences per 100 sentences,25.333333333333332,25.333333333333332,0.0,35.42857142857143,35.42857142857143,0.0,4.666666666666667,4.666666666666667,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,subjunctive_markers,Subjunctive markers,300,180.0,Adequate support,divergences per 100 sentences,22.333333333333332,22.333333333333332,0.0,15.555555555555555,15.555555555555555,0.0,13.0,13.0,0.0
Gemini 2.5 Flash 32B,Full Model,Structural realisation,subordinating_conjunctions,Subordinating conjunctions,300,115.0,Adequate support,divergences per 100 sentences,19.333333333333332,19.333333333333332,0.0,31.304347826086957,31.304347826086957,0.0,7.333333333333333,7.333333333333333,0.0
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,named_entities,Named-entity recall,300,200.0,Adequate support,percentage-point recall loss,10.5,45.0,34.5,89.5,55.0,34.5,43.666666666666664,37.333333333333336,6.333333333333333
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,negations,Negation recall,300,69.0,Adequate support,percentage-point recall loss,49.27536231884058,79.71014492753623,30.434782608695656,50.72463768115942,20.28985507246377,30.434782608695652,3.6666666666666665,6.0,-2.3333333333333335
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,numbers,Number recall,300,168.0,Adequate support,percentage-point recall loss,48.214285714285715,72.02380952380952,23.809523809523803,51.785714285714285,27.976190476190474,23.80952380952381,33.333333333333336,29.0,4.333333333333333
Llama 3 8B,2bit 10% Fast Spqr,Content preservation,proper_nouns,Proper-noun recall,300,180.0,Adequate support,percentage-point recall loss,11.11111111111111,47.77777777777778,36.66666666666667,88.88888888888889,52.22222222222222,36.666666666666664,57.0,36.333333333333336,20.666666666666668
Llama 3 8B,2bit 10% Fast Spqr,Internal agreement,adjective_noun_agreement,Adjective–noun disagreement,300,294.0,Adequate support,percentage-point violation rate,38.095238095238095,22.11302211302211,15.982215982215983,,,,,,
Llama 3 8B,2bit 10% Fast Spqr,Internal agreement,determiner_noun_agreement,Determiner–noun disagreement,300,650.0,Adequate support,percentage-point violation rate,29.23076923076923,12.38425925925926,16.84650997150997,,,,,,
Llama 3 8B,2bit 10% Fast Spqr,Internal agreement,subject_verb_agreement,Subject–verb disagreement,300,239.0,Adequate support,percentage-point violation rate,25.10460251046025,16.020671834625322,9.083930675834928,,,,,,
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,adjective_modifiers,Adjective modifiers,300,466.0,Adequate support,divergences per 100 sentences,174.66666666666666,67.0,107.66666666666666,56.223175965665234,23.605150214592275,32.61802575107296,87.33333333333333,30.333333333333332,57.0
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,definite_articles,Definite articles,300,1120.0,Adequate support,divergences per 100 sentences,286.3333333333333,107.0,179.33333333333331,45.625,16.339285714285715,29.285714285714285,116.0,46.0,70.0
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,genitive_determiners,Genitive determiners,300,301.0,Adequate support,divergences per 100 sentences,156.33333333333334,58.333333333333336,98.0,54.15282392026578,28.571428571428573,25.58139534883721,102.0,29.666666666666668,72.33333333333333
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,genitive_nominals,Genitive nominals,300,541.0,Adequate support,divergences per 100 sentences,210.33333333333334,105.33333333333333,105.00000000000001,52.310536044362294,31.423290203327173,20.88724584103512,116.0,48.666666666666664,67.33333333333334
Llama 3 8B,2bit 10% Fast Spqr,Structural realisation,participles,Participles,300,15.0,Low support,divergences per 100 sentences,10.333333333333334,9.333333333333334,1.0,93.33333333333333,73.33333333333333,20.0,5.666666666666667,5.666666666666667,0.0
